English,Spanish(es),Portuguese (Brazil)(pt-BR),Japanese (jp),Korean (ko),Simplified Chinese (zh-CN),Strategy,Check
!! HUNTERS ENRAGED !!,CAZADORES ENFURECIDOS!!,!! CAÇADORES ENFURECIDOS !!,！！ハンター激怒！！,!!헌터들 격노!!,！！猎人们愤怒了！,threat banner,warn
!! WET PANTS NOW !!,PANTALONES MOJADOS!,!! HORA DE BORRAR AS CALÇAS !!,！！漏らすなよ！！,!!무서워서 오줌을 지리게 해주마!!,！！吓尿预警！！,threat banner,warn
Agent Duckstone,Agente Pato Granate,Agente Patapedra,エージェントダックストーン,덕스톤 요원,特工巨石强鸭,creature — transcreate,warn
Amp Turner,Amp Turner,Espetácula,アンプターナー,앰프 터너,安培翻铲,weapon — transcreate,warn
Artifact,Artefacto,Artefato,アーティファクト,유물,终极能力,UI term — Ultimate ability system,ignore
Ascension,Ascension,Ascension,Ascension,Ascension,Ascension,UI term — Appears in format strings; check context,ignore
AT NT,AT NT,AT NT,AT NT,AT NT,AT NT,creature — transcreate,warn
Back,Atrás,Voltar,戻る,뒤로,返回,UI term,ignore
Bad Mr. Frosty,El malvado Sr. Frosty,Geladão Malvadão,バッドミスターフロスティ,나쁜 프로스티 씨,坏坏雪人,weapon — transcreate,warn
BANISHED !,DESTERRADO!,BANIDO!,退治完了！,추방!,已放逐！,threat banner,warn
Bean Minion,Legumbirro,Lacaio Grão,ビーンミニオン,빈 하수인,豆豆小兵,transcreate creature,warn
Beatrice,Beatriz,Beatriz,ベアトリス,베아트리스,蜜翠丝,transcreate robot wasp pun (bee→Bea-trice); one CJK rendering,warn
Big Ol' Tangus,Viejo Tangus,Grande Tangus,ビッグ・オル・タンガス,빅올드 탱거스,大唐古斯,planet — transcreate,warn
Bioflux,Bioflujo,Biofluxo,バイオフラックス,바이오플럭스,生物流能枪,weapon — transcreate,warn
Biomass Surge Mutation,Mutación de Oleada de biomasa,Mutação de Surto de Biomassa,バイオマスサージ・ミューテーション,바이오매스 급등 돌연변이,生物质涌动变异,mutation — transcreate,warn
Blockhead,Cabeza dura,Cabeção,ブロックヘッド,블록헤드,石脑袋,creature — transcreate,warn
Bolt Burger,Hamburtrueno,Rebimburguer,ボルトバーガー,볼트 버거,电光飞堡,game-specific — Vehicle name. zh-Hans is the benchmark for creative naming.,warn
Bolt Rifle,Rifletrueno,Parafuziladeira,ボルトライフル,볼트 소총,电光步枪,weapon — transcreate,warn
Bombard Core,Núcleo bombardero,Tiro de Bombarda,ボンバードコア,폭격의 핵,轰炸核心,mutation — transcreate,warn
Boombot,Robobum,Robumbigo,ブームボット,붐봇,爆音宝,transcreate creature; values from Lionbridge 260701 delivery,warn
Boombox,Boombox,Caixa de Som,ブームボックス,붐박스,低音炮,weapon — transcreate,warn
Boomfist,Puño explosivo,Punho Explosivo,ブームフィスト,붐피스트,爆拳,weapon — transcreate,warn
BoxFace,Cajalatada,Caixilson,ボックスフェイス,박스페이스,盒子脸,transcreate creature,warn
Bozo Balloon,Globo bufón,Balão Bozo,ボゾバルーン,보조 풍선,小丑气球艇,creature — transcreate,warn
Bramble Skull,Cráneo de zarzas,Crânio de Espinheiro,ブランブルスカル,가시덤불 두개골,荆棘头骨,mutation — transcreate,warn
Brisketon,Brisketon,Alcatria,ブリスケトン,브리스케톤,腩极星,planet — transcreate,warn
Broadside,Martillón,Tutulargão,ブロードサイド,브로드사이드,舷炮射手,creature — transcreate,warn
Brrr Blaster,Explosivo Brr,Canhão C-C-Congelante,ブリュルブラスター,브르르 블래스터,哆嗦爆能枪,weapon — transcreate,warn
Bugzapper,Mosquitero,Zipinseto,バグザッパー,버그재퍼,电刺蜂人,creature — transcreate,warn
Burn Barrel,Quemabarril,Barril Flamejante,バーンバレル,불타는 배럴,焚化桶,weapon — transcreate,warn
Burning,,,,,,status effect — On fire state,warn
Burnt Brisket Body,Cuerpo de pecho quemado,Corpo de Peito Queimado,焦げたブリスケットの体,불타는 브리스킷 몸통,焦烤胸肉躯体,mutation — transcreate,warn
