Key,Id,Spanish(es)
ITEM_NOTIFICATION_STACK_COUNT_FMT,42659474148679680,x{StackCount}
INTERACTION_PROMPT_TYPE_NONE_FMT,43126879249489920,{ActionText}
INTERACTION_PROMPT_TYPE_PRESS_FMT,43127706953441280,{BindingText} {ActionText}
INTERACTION_PROMPT_TYPE_HOLD_FMT,43127738511384576,Mantén apretado {BindingText} para {ActionText}
INTERACT_PROMPT_HEALTH_GAIN_FMT,43375595235565568,+{HealthGain}
EVENT_OBJECTIVE_TASKS_FMT,45737656791851008,<nobr>{NumDone}/{NumTodo}</nobr> {Detail}
EVENT_OBJECTIVE_DAMAGE_ANY_ENEMY_FMT,45684262786031616,Se dañaron <nobr>{NumDamaged}/{NumToDamage}</nobr>
COMPASS_DISTANCE_FMT,46402692690468864,{Distance}m
JOIN_GAME_PLAYERNAME_FMT,48095464992530432,El juego de {PlayerName}
JOIN_GAME_PLAYERCOUNT_FMT,48096123611504640,{Current}/{Max}
MODE_SELECT_HOST_PUBLIC,214248185856,CREAR PARTIDA PÚBLICA
MODE_SELECT_HOST_FRIENDS_ONLY,278383288320,Crear partida privada
MODE_SELECT_HOST_PRIVATE,327255318528,Un jugador
CARL_TERMINAL_MISSING_MATERIALS,30366100192485376,Materiales faltantes
CARL_TERMINAL_REQUIRED_MATERIALS_HEADER,30380913715044352,Materiales necesarios:
MAIN_MENU_SKIP_TUTORIAL,31076355092242432,Omitir tutorial
MAIN_MENU_DISCORD_SERVER_BUTTON,31076690544287744,Carne fresca en Discord
MAIN_MENU_DEBUG_HEADER,31076998813048832,Depurar
MAIN_MENU_UPLOAD_LOGS,31077125934014464,Cargar registros
MAIN_MENU_WISHLIST,31077254808199168,Lista de deseos en Steam
MAIN_MENU_MULTIPLAYER,31077375373467648,Multijugador
MAIN_MENU_OPTIONS,31077450753499136,Opciones
MAIN_MENU_RESUME,31077530629824512,Reanudar [InputAction:UI/Cancel]
MAIN_MENU_ABANDON_RUN,31077628587794432,Salir al Lobby
MAIN_MENU_EXIT,31077710762598400,Salir del juego
MESSAGE_BOX_QUIT_TITLE,31098413507403776,Salir del juego
MESSAGE_BOX_QUIT_MESSAGE,31098545544093696,¿Confirmas que deseas salir?
MESSAGE_BOX_FEEDBACK_TITLE,31099905689772032,Enviar comentarios
MESSAGE_BOX_FEEDBACK_MESSAGE,31100033314054144,¿Te gustaría realizar una breve encuesta para ayudarnos a mejorar el juego?
MESSAGE_BOX_FEEDBACK_CONFIRM,31100327628365824,¡Sí!
MESSAGE_BOX_FEEDBACK_CANCEL_ON_EXIT,31100501750702080,"No, estoy bien"
MESSAGE_BOX_FEEDBACK_CANCEL,31100557044211712,Quizás más tarde
MESSAGE_BOX_JOIN_GAME_TITLE,31100726099828736,Unirte a un nuevo juego
