Key,Id,Japanese(ja)
A_CAPTURED_SPIDER,46628102279782400,捕まえたクモ
A_FRANKEN_TICKLER,46628101457698816,フランケンティックラー
A_HIVE_TENDRIL,46628112698433536,ハイブの触手
ALIEN_BULB,46628101419950080,エイリアンバルブ
AN_ITEM_CAPSULE,46628112023150592,アイテムカプセル
BOLT_BURGER,46628108516712448,ボルトバーガー
CARL_TERMINAL_ALL_COMPLETED_ENTRY,58590589204029440,すべてを成し遂げた！でも、まだ惑星を探索すれば、新しい発見があるかも...
CARL_TERMINAL_DESCRIPTION,58588929878646784,銀河一の頼れるマネージャー
CARL_TERMINAL_MISSING_MATERIALS,30366100192485376,不足している素材
CARL_TERMINAL_REQUIRED_MATERIALS_HEADER,30380913715044352,必要素材：
CARL_TERMINAL_TITLE,58588816691159040,カール・ランガス
CAVE_ENTRANCE,48527482492321792,洞窟の入口
COACH_DAN,46628101034074112,コーチ・ダン
COMMON_BACK,58577423170527232,戻る
COMMON_COMPLETED,58590894855544832,完了
COMMON_SIDEQUESTS,74560833584095232,サイドクエスト
COMPASS_DISTANCE_FMT,46402692690468864,{Distance}m
CONTROL_PANEL,71374858701537280,操作パネル
CURRENCY_TRADER_DESCRIPTION,58576262912794624,// 通貨とリソースの交換
CURRENCY_TRADER_TITLE,58576102623272960,トレーダー・マイク
DAMAGE_TYPE_ELECTRIC,43142638340136960,電撃
DAMAGE_TYPE_FIRE,43142553082519552,火
DAMAGE_TYPE_ICE,43142575572377600,氷
DAMAGE_TYPE_KINETIC,43142700797517824,物理
DAMAGE_TYPE_SLIME,43142609625931776,スライム
DEATH_FINAL_TITLE,74209383469277184,デッドミート
DEATH_LAST_CHANCE,73578787034357760,ラストチャンス！
DEATH_RESPAWNING_TITLE,73560258369282048,リスポーン中
DEATH_SCREEN_KILLED_BY_FMT,73552691249274880,<color=#FFC700>{CreatureName}</color>によって倒された
DIAMOND,66974994580406272,ダイヤモンド
DirtbagName,84665500557934592,ダートバッグ
Drain Tunnel,64088669405609984,排水トンネル
Drain Tunnel 2,64091624674459648,排水トンネル 2
EMERGENCY_TEXT_DEFAULT_DESCRIPTION,46144714159616000,アプリ起動中にエラーが発生しました。PCを再起動すると改善する場合があります。
EMERGENCY_TEXT_DEFAULT_FOOTER,46312787621638144,問題が解決しない場合は、SwapMeat Discordサーバーの #create-bug-reports チャンネルでサポートにお問い合わせください。<br>このアプリケーションは30秒後に自動的に終了します。
EMERGENCY_TEXT_DEFAULT_TITLE,46144708803489792,アプリ起動エラー
EMERGENCY_TEXT_IO_DESCRIPTION,46312933025574912,起動時にファイルを読み込む際にエラーが発生しました。これはウイルスチェックや前回のゲーム終了処理が途中で終了した場合によく発生します。<br>引き続き問題が起きる場合は、PCを再起動するとファイルロックが解除される場合があります。
EMPLOYEE_RANK_POINTS_FORMAT,38765036250849280,{Current} / {Total} RP
EMPLOYEE_RANK_RANKUP_FMT,38764977085997056,ランクアップ！+{Value}
EMPLOYEE_RANK_TITLE,38764887885733888,従業員ランク
EVENT_BANNER_COMPLETE,37577933345251328,クリア！
EVENT_BANNER_PRIME_DIRECTIVE,37577651529965568,メイン目標クリア！
EVENT_BANNER_SECONDARY_DIRECTIVE,37581156248444928,サブ目標クリア！
EVENT_COMPLETE_NO_REWARDS,43499746143232000,クリア！
EVENT_COMPLETE_REWARDS,36526246664855552,報酬：
EVENT_DESCRIPTION_TIME_FMT,61552718882267136,{EventText}：{TimeoutText}
EVENT_DESCRIPTION_TIME_ONLY_FMT,61553051326996480,{TimeoutText}
EVENT_HEADER_PRIME,35806126556569600,メイン目標
EVENT_HEADER_SECONDARY,35806182923821056,サブ目標
EVENT_HUNTER_TIMER_ADVANCED,43479223816413184,ハンター到着（早着）
EVENT_HUNTER_TIMER_DELAYED,43480205547790336,ハンター到着（遅刻）
EVENT_OBJECTIVE_DAMAGE_ANY_ENEMY_FMT,45684262786031616,ダメージ <nobr>{NumDamaged}/{NumToDamage}</nobr>
EVENT_OBJECTIVE_TASKS_FMT,45737656791851008,<nobr>{NumDone}/{NumTodo}</nobr> {Detail}
EVENT_REWARD_FMT,68757372988809216,{Count}
EXHAUST_PORT,46628107665268736,排気口
GOAL!,46628109821140992,ゴール！
GOOBER_TURRET,46628113809924096,グーバータレット
HARVESTER_CORE,46389181780320256,ハーベスターコア
HEALTH_STATION,46628116695605248,回復ステーション
HUD_CHECKPOINT_TOAST,71718200525385728,チェックポイントセーブ完了！
HUNTER_ENRAGE_TIMER,53525888526966784,激怒まであと：
HUNTER_THREAT_BANISHED,35125235089924096,退治完了！
HUNTER_THREAT_DANGER,35125167033147392,危険！
HUNTER_THREAT_ENRAGED,35125494096584704,！！ハンター激怒！！
HUNTER_THREAT_IMMINENT,35125348260634624,脅威接近中！！
HUNTER_THREAT_PANTS,35125431806976000,！！漏らすなよ！！
HUNTERS_TIMER_FMT,68162259069689856,{SecondsRemaining:secondstotime()}
HUNTERS_TIMER_REWARD_FMT,68472376516403200,{Count:cond:<0?<color=#FF3667>{}秒</color>|+{}秒}
INSECT_EGGS,46628101830991872,昆虫の卵
INTERACT_PROMPT_HEALTH_GAIN_FMT,43375595235565568,+{HealthGain}
INTERACT_PROMPT_PING,43136443831279616,[InputAction:Gameplay/MarkTarget] Ping
INTERACTION_PROMPT_HOLD_SUCCESS,43183389103087616,成功！
INTERACTION_PROMPT_TYPE_HOLD_FMT,43127738511384576,{BindingText}を長押しで{ActionText}
INTERACTION_PROMPT_TYPE_NONE_FMT,43126879249489920,{ActionText}
INTERACTION_PROMPT_TYPE_PRESS_FMT,43127706953441280,{BindingText} {ActionText}
ITEM_INSPECTION_PROMPT,42642500681195520,調べる
ITEM_NOTIFICATION_NEW_ITEM,42646904150941696,New！
ITEM_NOTIFICATION_STACK_COUNT_FMT,42659474148679680,x{StackCount}
ITEM_RARITY_COMMON,42668023662764032,コモン
ITEM_RARITY_EPIC,42668027727044608,エピック
ITEM_RARITY_LEGENDARY,42668029052444672,レジェンド
ITEM_RARITY_RARE,42668026103848960,レア
ITEM_RARITY_UNCOMMON,42668357307064320,アンコモン
