Key,Id,Korean(ko)
06ee873104e6457f8fa804beda5d776f_40_0,55920373358587904,볼트 버거로 탈출하기
077ed3a648524d648d4f5830819caedf_25_0,13533376626548736,수상 착륙 이벤트
080d27fb42324e548cdeb9c78188b9e1_81_0,12863354224762921,"축하해, 챔피언!"
0c5e0b437f13418387fcb4fda3255c12_110_0,45428356416528384,슬러지풀 찾기
0d2b2836ea734fdf9cc838949e782087_43_0,12863354224762890,금지된 만 들어가기
1016690cd2f7490092f4aeab093cec72_109_0,39596777527869441,컨테이너 파괴 완료
10284edea78c43f3a1daa7d6b798a24e_47_0,4741774361747457,네가 해냈어!
10ba103a02a742209c06b33018b68ef2_90_0,13533376634937347,고기 코어 추출!
1415483d8e43417fb532b91312777e21_73_0,12863354224762906,요리 진행 중...
144401ad86fc4e17a5b485773aed3c37_92_0,31181757266366471,틈새에 접근하기
144401ad86fc4e17a5b485773aed3c37_96_0,12863354224762931,[InputAction:Gameplay/CharacterMovement] 키를 사용해 절벽으로 움직이기
144401ad86fc4e17a5b485773aed3c37_97_0,31181757266366472,[InputAction:Gameplay/CharacterMovement] 키를 사용해 비콘으로 이동하기!
14b550cb62de4d47aa26571d5ec081a4_73_0,35944490127581184,행성 탈출하기
153cc3f8cf1f4d0888816bf658a8632c_100_0,18288937009971200,물고기 퇴치 완료
1698bcf073164975b50d0c057e9e9434_40_0,35944490102415360,다음 공세
1698bcf073164975b50d0c057e9e9434_83_0,12863354224762923,"자리에, 준비하시고..."
1d47360bac994027a98c29d45df2a55b_37_0,12863354220568587,플라즈마 통풍구 파괴 완료
1d47360bac994027a98c29d45df2a55b_69_0,36342413208686592,공장 노드 파괴 완료
1d47360bac994027a98c29d45df2a55b_70_0,42829564557496320,방송사 파괴 완료
1d47360bac994027a98c29d45df2a55b_72_0,42829564557496321,공장 파괴하기
218fe4acf7964a7cb5c7be094c6e69c0_40_0,13533376630743042,노드 C
29488c16d198412883a2a51596acc2bb_88_0,34098342817202177,하이빔 퇴치 완료
29b4771bd209406eb232367ab4aef6ea_40_0,12863354220568591,방어 노드 착륙 완료
29b4771bd209406eb232367ab4aef6ea_90_0,31181757266366465,수확기 방어 노드 착륙 완료
2b68a27692834455b2862225321d85bf_84_0,28606152955428864,휠리 퇴치 완료
2bcb060e74794ee6b35dec056cb1ad4b_4_0,12863354220568577,소형 글로보 파괴 완료
302c872126a14ec2838403c78ca53dbe_35_0,12863354220568585,곤충 적들
307da1864b474e55ad4c1444a56658db_47_0,12863354224762895,프랑켄 빈즈 퇴치하기
363558d8493e48e289610cc80a45dce7_92_0,13533376634937350,목표 달성!
36cd18992f274b02a91cd6c0e992f1f4_101_0,31321804916948992,배수 위치
3a678daece2d40309b8eb9970ebf79ba_36_0,12863354220568586,감염 위치 찾기
3a678daece2d40309b8eb9970ebf79ba_53_0,12863354224762896,랭거스 시설 찾기
3b601266bb5d4a38b0834fd14d1ef92c_1_0,12863354212179968,벌집 덩굴 파괴하기
3c99156a71e94689befdad6541f0bf07_90_0,12863354224762927,적 퇴치 완료
3fdff34d02474be4a2ecff716417f87d_81_0,12863354224762919,상대 고정하기
4115cee4e56045ee915c6d12fc8f28bf_57_0,25819545806340097,슬라임 집결지 찾기
43299c14b63f49d78c190b2a798a27a6_98_0,16371853938163714,근처 동굴 들어가기
455efe9b97694027bc0a679531a30729_79_0,28265088556195840,체력 스테이션 찾기
45913b0062ba4bedad3d390ead657593_117_0,50485223704264705,리셋 재부팅하기
45c41fc4a38742fdb704cb4e69bcd9da_79_0,28263989174591488,스테이션을 사용하여 체력 회복하기
47d22a0a9d04426a939f3ea0864b5205_88_0,34098342817202176,보호 수정 파괴 완료
4803acde682845028daa9cb9d258ff91_40_0,12863354224762881,남은 시간
4a9bef823c604de19b73c9aeafca1d8d_117_0,50485223704264704,리셋 찾기
4a9bef823c604de19b73c9aeafca1d8d_60_0,12863354224762897,칼립소의 신장 찾기
4c5f937ce7714ef9b521d16bc072a73a_89_0,45789048323694592,무료 고기를 획득하세요!
4ddcdfd50d0e47f08fd6bc7f5f1bb469_89_0,15325185385988097,광선 차단 완료
58f4d3f77dd547dc8169638a7b3e062e_8_0,25819545705676800,추락한 수확기 찾기
5ed58fbeb96d4cb382f8bc57afa849a5_40_0,4741774361747456,당장 대피해!
631906e57b8d4160990d2e447587b61b_47_0,12863354224762894,은신처에 들어가기
637d1804119d485f88ca47f98128d541_43_0,12863354224762892,브로드사이드 퇴치하기
63a0f53118c1402c99a31618368c68ea_91_0,13533376634937349,곤충 알
641e13cf11144468b19d70851075d9a7_25_0,12863354220568583,리셋을 계속 살려두세요
64f797dc3da74b8ea65cf4e2d44341ba_117_0,50485223704264706,리셋이 터지고 말 거야!
6f2d88d0310742859bdb6238d3e4ad86_91_0,12863354224762928,둥지 파괴 완료([InputAction:Gameplay/RangedFire]로 사격)
7091b8121ac345a7b5dd032f1fb10d38_65_0,12863354224762900,보호막 생성기 파괴하기
732760e06a494706bc85e319628b5c0f_8_0,13043324679086080,알 파괴 완료
736627e655094cfa8f25340937a2d4ff_64_0,25819545806340099,칼립소의 심장 찾기
780b3c462166410cb105383610f867a4_26_0,40699209502720000,.
79546cc3d5574f48bfeae8542285b2be_101_0,35236879184723968,밸브
7c767509160b47d09ee5fd3037cd6303_60_0,38122210821771264,칼립소의 신장 파괴 완료
7dd5734af14447428441a4afa3b05ccf_54_0,15335522801844224,길게 누르기
807edf1d4f3e4599a048379d0197a838_42_0,12863354224762885,제물 마법진 찾기
81d20e1613b6479ca33a6cdfc9ce5e0f_41_0,12863354224762883,글로보 파괴 완료
82239c3b0973496980d13c3eb35465f5_73_0,4741774365941760,고기 코어를 지키세요!
823baa51f7ac45f685ba900c7c6ddfb2_40_0,13533376630743040,노드 A
83339c61496448f3ab8a9f00787f30bd_73_0,28635447101943808,고기 코어 추출 중
862addccc4bf4bb9b4c7a0c4d6b48150_93_0,12863354224762930,포탑 파괴하기
86379083fd29463498e7361acdd157e4_101_0,20866619597946882,밸브 파괴하기
882c3ea243c1443e95759576b73b2729_110_0,40046892562546689,파이프 막힘
88eea4ea07334f4b9957fa019c9c9e72_88_0,13043324691668994,포드 처치 완료
8c9ba7dccc20445c89cd89d1ba506cc4_88_0,53087326635548672,보호 수정
8d27d8bb3bee42c2942be3baf1859045_101_0,20866619602141184,외계인 뇌 파괴 완료
8e4d080278df4923a617256e18dee6d5_42_0,12863354224762889,몬스터 퇴치 완료
932df004b21244c99860871f9bfdbcfe_40_0,13533376630743041,노드 B
934993f61e7d4fa898242cffd9d8abd4_38_0,12863354220568589,이벤트 비콘 찾기
95793848bf4b4be5a284252b6e26a2cc_105_0,32983460336140288,클론 항아리 파괴 완료
